adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Steinerbos 87, 2134 JT Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Steinerbos 87, 2134 JT Hoofddorp_2025-12-02.uniec3",2158,A,"102,71","135,01","19,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Steinerbos 87, 2134 JT Hoofddorp, Nederland/Opname/Van adviseur/Steinerbos 87, 2134 JT Hoofddorp_2025-12-02.uniec3",Remeha Avanta Ace 28c - BCRG verklaring gecorrigeerd 2021-10-02,TAPW-OPWEK_TYPE_12,"0,66",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Barentszstraat 232, 1013 NT Amsterdam_",VERW-AFG_TYPE_AFG_RAD,"Barentszstraat 232, 1013 NT Amsterdam__2025-09-02.uniec3",,A,"82,35","146,05","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Barentszstraat 232, 1013 NT Amsterdam/Opname/Van adviseur/Barentszstraat 232, 1013 NT Amsterdam__2025-09-02.uniec3",Intergas Kombi Kompakt HRE 24/18,TAPW-OPWEK_TYPE_12,"0,98",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
Kornwierde 110 1353 KL Almere,VERW-AFG_TYPE_AFG_RAD,Kornwierde 110 1353 KL Almere_2025-10-01.uniec3,,A,"104,40","133,52","17,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Kornwierde 110, 1353 KL Almere, Nederland/Opname/Van adviseur/Kornwierde 110 1353 KL Almere_2025-10-01.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"0,98",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Johan Frisostraat 20, 1432 HH Aalsmeer",VERW-AFG_TYPE_AFG_LV,"Johan Frisostraat 20, 1432 HH Aalsmeer_2025-10-26.uniec3",,C,"159,82","218,95","11,1",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Johan Frisostraat 20, 1432 HH Aalsmeer, Nederland/Opname/Van adviseur/Johan Frisostraat 20, 1432 HH Aalsmeer_2025-10-26.uniec3",Nefit Proline NxT HRC24 CW4,TAPW-OPWEK_TYPE_12,"2,54",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_A
"Van Tuyll van Serooskerkenweg 79, 1076 Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Van Tuyll van Serooskerkenweg 79, 1076 Amsterdam_2025-11-07.uniec3",,C,"142,54","215,70","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Tuyll van Serooskerkenweg 79, 1076 Amsterdam, Nederland/Opname/Van adviseur/Van Tuyll van Serooskerkenweg 79, 1076 Amsterdam_2025-11-07.uniec3",Remeha Avanta 28c,TAPW-OPWEK_TYPE_12,"1,85",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Pharus 277, 1503 EA Zaandam",VERW-AFG_TYPE_AFG_RAD,"Pharus 277, 1503 EA Zaandam_2025-07-02.uniec3",,C,"103,22","198,98","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Pharus 277, 1503 EA Zaandam/Opname/Van adviseur/Pharus 277, 1503 EA Zaandam_2025-07-02.uniec3",externe warmtelevering,TAPW-OPWEK_TYPE_4,"1,46",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Singel 125-4L, 1012VH Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Singel 125-4L, 1012VH Amsterdam_2025-07-01.uniec3",,E,"222,89","306,54","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Singel 125-4L, 1012VH Amsterdam/Opname/Van adviseur/Singel 125-4L, 1012VH Amsterdam_2025-07-01.uniec3",Intergas Kombi Kompakt HRE 24/18 A,TAPW-OPWEK_TYPE_12,"1,13",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Quellijnstraat 80-4, 1072XW Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Quellijnstraat 80-4, 1072XW Amsterdam_2025-06-16.uniec3",,A,"99,19","145,80","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Quellijnstraat 80-4, 1072XW Amsterdam/Opname/Van adviseur/Quellijnstraat 80-4, 1072XW Amsterdam_2025-06-16.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"5,26",1,VARIANT_A1,"0,975",VERW-OPWEK_TYPE_H
"Hoofdweg 77, 1424 PD De Kwakel",VERW-AFG_TYPE_AFG_LV,"Hoofdweg 77, 1424 PD De Kwakel_2025-05-18.uniec3",,C,"147,94","214,11","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hoofdweg 77, 1424 PD De Kwakel/Opname/Van adviseur/Hoofdweg 77, 1424 PD De Kwakel_2025-05-18.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,53",4924,VARIANT_D2,"0,950",VERW-OPWEK_TYPE_L
"Groenhof 19, 1186 EV Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Groenhof 19, 1186 EV Amstelveen_2025-10-09.uniec3",,D,"85,05","272,14","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Groenhof 19, 1186 EV Amstelveen, Nederland/Opname/Van adviseur/Groenhof 19, 1186 EV Amstelveen_2025-10-09.uniec3",HR(-107) ketel,TAPW-OPWEK_TYPE_12,"2,68",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Van 't Hoffstraat 15, 1171AP Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Van 't Hoffstraat 15, 1171AP Badhoevedorp_2025-10-30.uniec3",,B,"142,44","187,99","10,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Het Hoffstraat 15, 1171 AP Badhoevedorp, Nederland/Opname/Van adviseur/Van 't Hoffstraat 15, 1171AP Badhoevedorp_2025-10-30.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,87",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Plesmanlaan 30, 1171EN Badhoevedorp",VERW-AFG_TYPE_AFG_VLV,"Plesmanlaan 30, 1171EN Badhoevedorp_2025-10-27.uniec3",,A,"105,82","143,46","14,1",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Plesmanlaan 30, 1171EN Badhoevedorp/Opname/Van adviseur/Plesmanlaan 30, 1171EN Badhoevedorp_2025-10-27.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,04",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Meander 947, 1181 WP Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Meander 947, 1181 WP Amstelveen_2025-05-01.uniec3",,B,"130,50","187,32","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Meander 947, 1181 WP Amstelveen/Opname/Van adviseur/Meander 947, 1181 WP Amstelveen_2025-05-01.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,98",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Wilhelminastraat 4, 1432 GC Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Wilhelminastraat 4, 1432 GC Aalsmeer_2025-05-15.uniec3",,B,"130,37","163,21","11,3",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wilhelminastraat 4, 1432 GC Aalsmeer/Opname/Van adviseur/Wilhelminastraat 4, 1432 GC Aalsmeer_2025-05-15.uniec3",boosterwarmtepomp,TAPW-OPWEK_TYPE_2,"4,15",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"S.F. van Ossstraat 226, 1068 JR Amsterdam",VERW-AFG_TYPE_AFG_RAD,"S.F. van Ossstraat 226, 1068 JR Amsterdam_2025-10-07.uniec3",,E,"196,15","323,06","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/S.F. van Ossstraat 226, 1068 JR Amsterdam, Nederland/Opname/Van adviseur/S.F. van Ossstraat 226, 1068 JR Amsterdam_2025-10-07.uniec3",badgeiser zonder Gaskeur,TAPW-OPWEK_TYPE_14,"1,22",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Tiengemeten 19, 1181 CN Amstelveen_",VERW-AFG_TYPE_AFG_RAD,"Tiengemeten 19, 1181 CN Amstelveen__2025-10-13.uniec3",,A,"86,86","150,68","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Tiengemeten 19, 1181 CN Amstelveen_/Opname/Van adviseur/Tiengemeten 19, 1181 CN Amstelveen__2025-10-13.uniec3",HR ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"2,45",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Carolina MacGillavrylaan 484, 1098 XB Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Carolina MacGillavrylaan 484, 1098 XB Amsterdam_2025-07-08.uniec3",,A,"61,45","147,57","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Carolina MacGillavrylaan 484, 1098 XB Amsterdam/Opname/Van adviseur/Carolina MacGillavrylaan 484, 1098 XB Amsterdam_2025-07-08.uniec3",HR(-107) ketel,TAPW-OPWEK_TYPE_12,"3,36",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Heemstede 230, 1187 MG Amstelveen",VERW-AFG_TYPE_AFG_VLV,"Heemstede 230, 1187 MG Amstelveen_2025-10-31.uniec3",,A++,"74,14","67,10","49,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Heemstede 230, 1187 MG Amstelveen, Nederland/Opname/Van adviseur/Heemstede 230, 1187 MG Amstelveen_2025-10-31.uniec3",warmtepomp - voldoet niet aan tabel 9.28,TAPW-OPWEK_TYPE_1,"0,70",9,VARIANT_C1,,VERW-OPWEK_TYPE_A
"Ferdinand Bolweg 4, 1181 XE Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Ferdinand Bolweg 4, 1181 XE Amstelveen_2025-10-13.uniec3",,B,"124,02","184,08","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Ferdinand Bolweg 4, 1181 XE Amstelveen, Nederland/Opname/Van adviseur/Ferdinand Bolweg 4, 1181 XE Amstelveen_2025-10-13.uniec3",Remeha Avanta Ace 28c - BCRG verklaring gecorrigeerd 2021-10-02,TAPW-OPWEK_TYPE_12,"1,67",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Linksbuitenstraat 19, 1433 DR Kudelstaart",VERW-AFG_TYPE_AFG_RAD,"Linksbuitenstraat 19, 1433 DR Kudelstaart_2025-10-21.uniec3",,A+,"78,63","96,99","19,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Linksbuitenstraat 19, 1433 DR Kudelstaart, Nederland/Opname/Van adviseur/Linksbuitenstraat 19, 1433 DR Kudelstaart_2025-10-21.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"0,89",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Toevluchtstraat 37, 1171 GG Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Toevluchtstraat 37, 1171 GG Badhoevedorp_2025-09-19.uniec3",,B,"97,26","171,76","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Toevluchtstraat 37, 1171 GG Badhoevedorp, Nederland/Opname/Van adviseur/Toevluchtstraat 37, 1171 GG Badhoevedorp_2025-09-19.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"3,05",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Figarolaan 53, 2152 JG Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Figarolaan 53, 2152 JG Nieuw-Vennep_2025-05-18.uniec3",,A,"93,58","134,63","21,3",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Figarolaan 53, 2152 JG Nieuw-Vennep/Opname/Van adviseur/Figarolaan 53, 2152 JG Nieuw-Vennep_2025-05-18.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,10",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Grevelingenstraat 4-H, 1078KN Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Grevelingenstraat 4-H, 1078KN Amsterdam_2025-09-15.uniec3",,C,"146,57","226,66","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Grevelingenstraat 4-HS, 1078 KN Amsterdam, Nederland/Opname/Van adviseur/Grevelingenstraat 4-H, 1078KN Amsterdam_2025-09-15.uniec3",Atag i28ECZ,TAPW-OPWEK_TYPE_12,"1,03",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Jan Teulingslaan 81, 1187 SH Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Jan Teulingslaan 81, 1187 SH Amstelveen_2025-05-28.uniec3",,A,"111,16","158,33","13,3",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Jan Teulingslaan 81, 1187 SH Amstelveen/Opname/Jan Teulingslaan 81, 1187 SH Amstelveen_2025-05-28.uniec3",Atag Q38C,TAPW-OPWEK_TYPE_12,"1,83",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Horstermeerstraat 2, 2131 DN Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Horstermeerstraat 2, 2131 DN Hoofddorp_2025-10-21.uniec3",,D,"147,78","279,23","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Horstermeerstraat 2, 2131 DN Hoofddorp, Nederland/Opname/Van adviseur/Horstermeerstraat 2, 2131 DN Hoofddorp_2025-10-21.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,21",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Mijnsherenweg 53, 1433 AP Kudelstaart",VERW-AFG_TYPE_AFG_RAD,"Mijnsherenweg 53, 1433 AP Kudelstaart_2025-09-16.uniec3",,C,"144,43","228,11","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Mijnsherenweg 53, 1433 AP Kudelstaart, Nederland/Opname/Van adviseur/Mijnsherenweg 53, 1433 AP Kudelstaart_2025-09-16.uniec3",Nefit Topline Compact HRC30 CW5,TAPW-OPWEK_TYPE_12,"1,08",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Vinkenkade 77, r59, 3645 BX Vinkeveen",VERW-AFG_TYPE_AFG_VLV,"Vinkenkade 77, r59, 3645 BX Vinkeveen_2025-10-12.uniec3",,A++,"102,79","65,83","67,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Vinkenkade 77, r59, 3645 BX Vinkeveen, Nederland/Opname/Van adviseur/Vinkenkade 77, r59, 3645 BX Vinkeveen_2025-10-12.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,70",1,VARIANT_A1,,VERW-OPWEK_TYPE_A
Meidoornweg 100 1171 KC Badhoevedorp,VERW-AFG_TYPE_AFG_RAD,Meidoornweg 100 1171 KC Badhoevedorp_2025-10-15.uniec3,,C,"142,98","240,44","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Meidoornweg 100, 1171 KC Badhoevedorp, Nederland/Opname/Van adviseur/Meidoornweg 100 1171 KC Badhoevedorp_2025-10-15.uniec3",Intergas Kombi Kompakt HReco 24,TAPW-OPWEK_TYPE_12,"0,72",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Carel Fabritiuslaan 3, 1181 TD Amstelveen__",VERW-AFG_TYPE_AFG_VLV,"Carel Fabritiuslaan 3, 1181 TD Amstelveen___2025-12-04.uniec3",1108,A+++,"107,31","39,76","74,9",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Carel Fabritiuslaan 3, 1181 TD Amstelveen/Opname/Van adviseur/Carel Fabritiuslaan 3, 1181 TD Amstelveen___2025-12-04.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,30",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Van Eedenlaan 16, 1422JN Uithoorn_-",VERW-AFG_TYPE_AFG_LV,"Van Eedenlaan 16, 1422JN Uithoorn_-_2025-12-02.uniec3",4330,A,"118,31","131,86","35,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Eedenlaan 16, 1422 JN Uithoorn, Nederland_new/Opname/Van adviseur/Van Eedenlaan 16, 1422JN Uithoorn_-_2025-12-02.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"6,91",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_A
"Raadhuisstraat 101, 2406 AB Alphen aan den Rijn_",VERW-AFG_TYPE_AFG_RAD,"Raadhuisstraat 101, 2406 AB Alphen aan den Rijn__2025-07-21.uniec3",,E,"225,27","320,97","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Raadhuisstraat 101, 2406 AB Alphen aan den Rijn/Opname/Van adviseur/Raadhuisstraat 101, 2406 AB Alphen aan den Rijn__2025-07-21.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,19",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Knokkestraat 51, 1066 WK Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Knokkestraat 51, 1066 WK Amsterdam_2025-09-02.uniec3",,A,"102,33","158,42","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Knokkestraat 51, 1066 WK Amsterdam/Opname/Van adviseur/Knokkestraat 51, 1066 WK Amsterdam_2025-09-02.uniec3",Atag E325EC,TAPW-OPWEK_TYPE_12,"1,74",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Rodelindalaan 62, 2152 PL Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Rodelindalaan 62, 2152 PL Nieuw-Vennep_2025-08-14.uniec3",,A,"74,06","106,70","23,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Rodelindalaan 62, 2152 PL Nieuw-Vennep/Opname/Van adviseur/Rodelindalaan 62, 2152 PL Nieuw-Vennep_2025-08-14.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"0,87",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Piratenweg 108, 2132 TV Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Piratenweg 108, 2132 TV Hoofddorp_2025-11-17.uniec3",,A,"78,74","133,96","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Piratenweg 108, 2132 TV Hoofddorp, Nederland/Opname/Van adviseur/Piratenweg 108, 2132 TV Hoofddorp_2025-11-17.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"1,76",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Nieuwemeerdijk 101, 1171 NE Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Nieuwemeerdijk 101, 1171 NE Badhoevedorp_2025-09-03.uniec3",,D,"181,08","254,42","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Nieuwemeerdijk 101, 1171 NE Badhoevedorp/Opname/Van adviseur/Nieuwemeerdijk 101, 1171 NE Badhoevedorp_2025-09-03.uniec3",Intergas Kombi Kompakt HRE 36/30 A,TAPW-OPWEK_TYPE_12,"2,13",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Graan voor Visch 15206, 2132 EA Hoofddorp_",VERW-AFG_TYPE_AFG_RAD,"Graan voor Visch 15206, 2132 EA Hoofddorp__2025-10-09.uniec3",,A,"117,37","140,49","20,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Graan voor Visch 15206, 2132 EA Hoofddorp, Nederland/Opname/Van adviseur/Graan voor Visch 15206, 2132 EA Hoofddorp__2025-10-09.uniec3",Remeha Tzerra Ace-Matic 35c CCS,TAPW-OPWEK_TYPE_12,"1,83",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Mercuriusstraat 44 1431 XD Aalsmeer, Nederland",VERW-AFG_TYPE_AFG_RAD,"Mercuriusstraat 44 1431 XD Aalsmeer, Nederland_2025-08-21.uniec3",,C,"134,47","198,87","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Mercuriusstraat 44, 1431 XD Aalsmeer/Opname/Van adviseur/Mercuriusstraat 44 1431 XD Aalsmeer, Nederland_2025-08-21.uniec3",Intergas Kombi Kompakt HR 22,TAPW-OPWEK_TYPE_12,"1,24",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
Sont 3 2133 HA Hoofddorp,VERW-AFG_TYPE_AFG_RAD,Sont 3 2133 HA Hoofddorp_2025-09-09.uniec3,,B,"139,07","170,73","14,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Sont 3, 2133 HA Hoofddorp, Nederland/Opname/Van adviseur/Sont 3 2133 HA Hoofddorp_2025-09-09.uniec3",doorstroomtoestel - elektrisch,TAPW-OPWEK_TYPE_8,"1,34",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Hofland 8b, 3641 GE Mijdrecht",VERW-AFG_TYPE_AFG_RAD,"Hofland 8b, 3641 GE Mijdrecht_2025-07-11.uniec3",,A,"63,57","108,00","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hofland 8b, 3641 GE Mijdrecht/Opname/Van adviseur/Hofland 8b, 3641 GE Mijdrecht_2025-07-11.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"1,23",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Rosa Spierlaan 206, 1187 PG Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Rosa Spierlaan 206, 1187 PG Amstelveen_2025-05-18.uniec3",,A,"77,80","134,32","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Rosa Spierlaan 206, 1187 PG Amstelveen/Opname/Van adviseur/Rosa Spierlaan 206, 1187 PG Amstelveen_2025-05-18.uniec3",AWB ThermoElegance 3-A/2,TAPW-OPWEK_TYPE_12,"2,27",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Biesbosch 179, 1181 JC Amstelveen_",VERW-AFG_TYPE_AFG_RAD,"Biesbosch 179, 1181 JC Amstelveen__2025-10-01.uniec3",,B,"99,05","187,82","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Biesbosch 179, 1181 JC Amstelveen_/Opname/Van adviseur/Biesbosch 179, 1181 JC Amstelveen__2025-10-01.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,85",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Duivelandselaan 125, 1181 JV Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Duivelandselaan 125, 1181 JV Amstelveen_2025-04-10.uniec3",,C,"148,21","219,42","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Duivelandselaan 125, 1181 JV Amstelveen/Opname/Van adviseur/Duivelandselaan 125, 1181 JV Amstelveen_2025-04-10.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,82",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Handelstraat 25, 1431 ZC Aalsmeer_",VERW-AFG_TYPE_AFG_RAD,"Handelstraat 25, 1431 ZC Aalsmeer__2025-06-02.uniec3",,D,"186,31","260,94","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Handelstraat 25, 1431 ZC Aalsmeer/Opname/Van adviseur/Handelstraat 25, 1431 ZC Aalsmeer__2025-06-02.uniec3",Atag i28CZ,TAPW-OPWEK_TYPE_12,"1,12",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Marktplein 62, 2132 DC Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Marktplein 62, 2132 DC Hoofddorp_2025-08-11.uniec3",,D,"179,84","262,51","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Marktplein 62, 2132 DC Hoofddorp/Opname/Van adviseur/Marktplein 62, 2132 DC Hoofddorp_2025-08-11.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,92",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Nelly Bodenheimhof 9, 1183 BX Amstelveen_",VERW-AFG_TYPE_AFG_RAD,"Nelly Bodenheimhof 9, 1183 BX Amstelveen__2025-05-06.uniec3",,A+++,"152,59","26,42","88,5",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Nelly Bodenheimhof 9, 1183 BX Amstelveen/Opname/Van adviseur/Nelly Bodenheimhof 9, 1183 BX Amstelveen__2025-05-06.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,28",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Grift 64, 1423 DL Uithoorn",VERW-AFG_TYPE_AFG_LV,"Grift 64, 1423 DL Uithoorn_2025-10-28.uniec3",,B,"112,34","160,37","9,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Grift 64, 1423 DL Uithoorn, Nederland/Opname/Van adviseur/Grift 64, 1423 DL Uithoorn_2025-10-28.uniec3",Intergas Kombi Kompakt HRE 36/30 A,TAPW-OPWEK_TYPE_12,"0,66",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_A
