adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Oosteinderweg 21a, 1432 AC Aalsmeer",VERW-AFG_TYPE_AFG_OVERIG,"Oosteinderweg 21a, 1432 AC Aalsmeer_2025-11-07.uniec3",,G,"248,00","2967,87","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Oosteinderweg 21a, 1432 AC Aalsmeer, Nederland/Opname/Van adviseur/Oosteinderweg 21a, 1432 AC Aalsmeer_2025-11-07.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,80",1,VARIANT_A1,"0,100",VERW-OPWEK_TYPE_J
"Jan Hanzenstraat 28, 1053 SR Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Jan Hanzenstraat 28, 1053 SR Amsterdam_2025-06-16.uniec3",,C,"132,35","229,65","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Jan Hanzenstraat 28, 1053 SR Amsterdam/Opname/Van adviseur/Jan Hanzenstraat 28, 1053 SR Amsterdam_2025-06-16.uniec3",Remeha Avanta 24c,TAPW-OPWEK_TYPE_12,"2,51",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Hazenburglaan 91, 2135 EX Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Hazenburglaan 91, 2135 EX Hoofddorp_2025-04-07 (1).uniec3",,A,"100,42","149,47","10,6",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hazenburglaan 91, 2135 EX Hoofddorp/Opname/Van adviseur/Hazenburglaan 91, 2135 EX Hoofddorp_2025-04-07 (1).uniec3",Vaillant VHR NL CW4/3,TAPW-OPWEK_TYPE_12,"0,70",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Quellijnstraat 80-1, 1072XW Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Quellijnstraat 80-1, 1072XW Amsterdam_2025-06-16.uniec3",,A,"68,52","113,57","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Quellijnstraat 80-1, 1072XW Amsterdam/Opname/Van adviseur/Quellijnstraat 80-1, 1072XW Amsterdam_2025-06-16.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"5,27",1,VARIANT_A1,"0,975",VERW-OPWEK_TYPE_H
"Zilvermeeuwstraat 6, 1171 DK Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Zilvermeeuwstraat 6, 1171 DK Badhoevedorp_2025-10-26.uniec3",,E,"240,70","328,29","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Zilvermeeuwstraat 6, 1171 DK Badhoevedorp, Nederland/Opname/Van adviseur/Zilvermeeuwstraat 6, 1171 DK Badhoevedorp_2025-10-26.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,49",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Gaaistraat 6, 1171 HX Badhoevedorp",VERW-AFG_TYPE_AFG_VLV,"Gaaistraat 6, 1171 HX Badhoevedorp_2025-05-22.uniec3",,C,"143,89","196,48","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Gaaistraat 6, 1171 HX Badhoevedorp/Opname/Van adviseur/Gaaistraat 6, 1171 HX Badhoevedorp_2025-05-22.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,47",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"P.F. von Sieboldlaan 37, 1431 KG Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"P.F. von Sieboldlaan 37, 1431 KG Aalsmeer_2025-11-07.uniec3",,D,"133,98","258,01","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/P.F. von Sieboldlaan 37, 1431 KG Aalsmeer/Opname/Van adviseur/P.F. von Sieboldlaan 37, 1431 KG Aalsmeer_2025-11-07.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,64",1,VARIANT_A1,"0,800",VERW-OPWEK_TYPE_H
"Wilsonsplein 17, 2011VG Haarlem_",VERW-AFG_TYPE_AFG_RAD,"Wilsonsplein 17, 2011VG Haarlem__2025-05-26.uniec3",,G,"219,43","480,67","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wilsonsplein 17, 2011 VG Haarlem/Opname/Van adviseur/Wilsonsplein 17, 2011VG Haarlem__2025-05-26.uniec3",Nefit 9000i AquaPower Plus HRC 45/CW6,TAPW-OPWEK_TYPE_12,"1,62",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Duivelandselaan 123, 1181 JV Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Duivelandselaan 123, 1181 JV Amstelveen_2025-06-26.uniec3",,D,"189,05","261,14","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Duivelandselaan 123, 1181 JV Amstelveen/Opname/Van adviseur/Duivelandselaan 123, 1181 JV Amstelveen_2025-06-26.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,84",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Graan voor Visch 17408, 2132 ZL Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Graan voor Visch 17408, 2132 ZL Hoofddorp_2025-10-28.uniec3",,B,"123,30","187,67","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Graan voor Visch 17408, 2132 ZL Hoofddorp, Nederland/Opname/Van adviseur/Graan voor Visch 17408, 2132 ZL Hoofddorp_2025-10-28.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,03",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Koningsstraat 26, 1432 JR Aalsmeer_",VERW-AFG_TYPE_AFG_LV,"Koningsstraat 26, 1432 JR Aalsmeer__2025-08-28.uniec3",,A+,"74,26","87,10","30,1",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Koningsstraat 26, 1432 JR Aalsmeer/Opname/Van adviseur/Koningsstraat 26, 1432 JR Aalsmeer__2025-08-28.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,54",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_A
"Forsythiastraat 54, 2165 CH Lisserbroek",VERW-AFG_TYPE_AFG_VLV,"Forsythiastraat 54, 2165 CH Lisserbroek_2025-11-20.uniec3",,A,"108,42","157,57","12,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Forsythiastraat 54, 2165 CH Lisserbroek, Nederland/Opname/Van adviseur/Forsythiastraat 54, 2165 CH Lisserbroek_2025-11-20.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,67",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Nabuccosingel 9, 2152 DA Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Nabuccosingel 9, 2152 DA Nieuw-Vennep_2025-08-26.uniec3",,A+,"74,00","84,52","27,2",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Nabuccosingel 9, 2152 DA Nieuw-Vennep/Opname/Van adviseur/Nabuccosingel 9, 2152 DA Nieuw-Vennep_2025-08-26.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,50",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Hondsdrafstraat 26, 2153 CK Nieuw-Vennep_",VERW-AFG_TYPE_AFG_RAD,"Hondsdrafstraat 26, 2153 CK Nieuw-Vennep__2025-06-12.uniec3",,C,"130,82","192,43","5,1",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hondsdrafstraat 26, 2153 CK Nieuw-Vennep/Opname/Van adviseur/Hondsdrafstraat 26, 2153 CK Nieuw-Vennep__2025-06-12.uniec3",Ferroli (Agpo) MegaDens 5 - 231,TAPW-OPWEK_TYPE_12,"1,24",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Judith Leysterweg 39, 1181 TB Amstelveen__",VERW-AFG_TYPE_AFG_VLV,"Judith Leysterweg 39, 1181 TB Amstelveen___2025-09-21.uniec3",,A+++,"98,99","38,46","73,6",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Judith Leysterweg 39, 1181 TB Amstelveen/Opname/Van adviseur/Judith Leysterweg 39, 1181 TB Amstelveen___2025-09-21.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,14",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
